Doc Index,Title,URL,Overlap,Jaccard,Recs from Text Only,Recs from Text + Image,New Recs from Image Features
1,CMU Welcoming Celebrations: Trekking To Doi Suthep,N/A,5,1.0,Akita: A Tail from Northeastern Japan; Studying Spanish in Panama with Habla Ya; How to travel to Thailand on a student budget; BlogHouse Ireland for me (and whether it’s for you); The Rasta Experience,Akita: A Tail from Northeastern Japan; Studying Spanish in Panama with Habla Ya; How to travel to Thailand on a student budget; BlogHouse Ireland for me (and whether it’s for you); The Rasta Experience,
2,Things to Do in Keelung: An Alternative Day Trip from Taipei,N/A,3,0.43,Things to do in Keelung 基隆 on a Taipei day trip; Living La Vida Lagos; What to do with one weekend in Yangon; 7 Most-visited Tourist Attractions In Malaysia; 22 Best Things To Do In Japan For Fun,Things to do in Keelung 基隆 on a Taipei day trip; Living La Vida Lagos; What to do with one weekend in Yangon; Limpeh’s Personal Guide to Paris part 1: North Paris; 8 Ways to Experience Taiwan in Singapore,8 Ways to Experience Taiwan in Singapore; Limpeh’s Personal Guide to Paris part 1: North Paris
3,Made in Vietnam: Designer Vu Thao and Her Slow Fashion Label Kilomet109,N/A,5,1.0,Vietnam’s Holidays: Stunning Landscapes and Rich Culture; A New Way of Travel with Gibbon Experience: On the Treehouse; Flower Market Hanoi: Immerse in Hanoi’s Floral Magic; Sleeping In: Essence Hanoi Hotel & Spa; 14 Vietnam National Park Wonders: Best Journey for Trekkers,Flower Market Hanoi: Immerse in Hanoi’s Floral Magic; Sleeping In: Essence Hanoi Hotel & Spa; A New Way of Travel with Gibbon Experience: On the Treehouse; Vietnam’s Holidays: Stunning Landscapes and Rich Culture; 14 Vietnam National Park Wonders: Best Journey for Trekkers,
4,Taipa and Coloane – Macao beyond the casinos,N/A,5,1.0,"9 Insta-worthy Theme Parks You Won’t Believe Are Abandoned; Setouchi Triennale guide to island hopping for art; Jeonju food & sights; Day trip to Kutna Hora, home of the Bone Church; Sony Action Cam HDR AS15 – A Scuba Diving review","9 Insta-worthy Theme Parks You Won’t Believe Are Abandoned; Setouchi Triennale guide to island hopping for art; Jeonju food & sights; Day trip to Kutna Hora, home of the Bone Church; Sony Action Cam HDR AS15 – A Scuba Diving review",
5,Melaka day trip to the weird tiny island Pulau Besar,N/A,3,0.43,"James Turrell House of Light 光の館 – Sleeping in an artwork at Echigo Tsumari Art Triennale; Day Trip to Sintra for Castles and Princess Fantasies; Day trip to Kutna Hora, home of the Bone Church; The Land of Toraja; Cycling in Tioman from Tekek to Air Batang","James Turrell House of Light 光の館 – Sleeping in an artwork at Echigo Tsumari Art Triennale; Day Trip to Sintra for Castles and Princess Fantasies; Day trip to Kutna Hora, home of the Bone Church; Arezzo – Far from the madding crowd; A museum on my doorstep at Amoy Hotel",A museum on my doorstep at Amoy Hotel; Arezzo – Far from the madding crowd
6,What happens when you can’t read the language on your menu,N/A,2,0.25,Studying Spanish in Panama with Habla Ya; Making time to travel and finding the time to get lost; Sleeping in Hanoi – Hanoi Guesthouse Review; Did you find my camera in New Zealand?; CMU Welcoming Celebrations: Trekking To Doi Suthep,Studying Spanish in Panama with Habla Ya; Making time to travel and finding the time to get lost; Korea’s Hottest Travel Trends for 2025: What’s New for Singaporean Travellers?; Korea Day 4: Scenic Gangwon; Busan with SilkAir – Five Must-see Attractions in Busan,Korea Day 4: Scenic Gangwon; Busan with SilkAir – Five Must-see Attractions in Busan; Korea’s Hottest Travel Trends for 2025: What’s New for Singaporean Travellers?
7,Shuang Long Shan Ancestral Hall – An Urban Cemetery in Singapore,N/A,5,1.0,"Travel Photos @ Jaipur, Rajasthan; Most Romantic Places to Visit in Thailand; UNESCO World Heritage Sites in Laos; 8 Best Cheap Hotels In Phuket So You Can Go On A Beach Vacation On A Budget; 10 ‘Hidden’ Languages Of Malaysia You Should Learn To Greet In","Travel Photos @ Jaipur, Rajasthan; Most Romantic Places to Visit in Thailand; UNESCO World Heritage Sites in Laos; 8 Best Cheap Hotels In Phuket So You Can Go On A Beach Vacation On A Budget; 10 ‘Hidden’ Languages Of Malaysia You Should Learn To Greet In",
8,Where to find street art in Manchester’s Northern Quarter,N/A,4,0.67,Where to find street art in Kaohsiung: Weiwuying Street Art Village 衛武營街頭藝術彩繪; ROA street art locations around the world – my sightings; Cardiff in a day; Singapore Street Art: Where to find Street Art in Chinatown; Where to find street art in Macao 澳門,Where to find street art in Kaohsiung: Weiwuying Street Art Village 衛武營街頭藝術彩繪; ROA street art locations around the world – my sightings; The New SEVEN WONDERS; Singapore Street Art: Where to find Street Art in Chinatown; Where to find street art in Macao 澳門,The New SEVEN WONDERS
9,Planning my Niigata road trip: Tips on driving in Japan,N/A,5,1.0,Gippsland Road Trip: Things to do in Walhalla; Vang Vieng: A Hedonistic Backpacker Town Reborn; Best eSIM for Vietnam: Detailed Guide to the 6 Best Providers + Cost Comparison; The reasons why travel to Vietnam is among the cheapest; Paisu Pok Lake In Banggai: Bluest Lake In Indonesia,Gippsland Road Trip: Things to do in Walhalla; Vang Vieng: A Hedonistic Backpacker Town Reborn; Best eSIM for Vietnam: Detailed Guide to the 6 Best Providers + Cost Comparison; The reasons why travel to Vietnam is among the cheapest; Paisu Pok Lake In Banggai: Bluest Lake In Indonesia,
10,Why you need to learn Spanish in South America,N/A,5,1.0,"Thailand gets largest number of foreign tourists in Southeast Asia 2024; Essential items for surviving the communal hostel toilet; Cruising with Princess Cruises’ Sapphire Princess – Part 1, For the Little Ones; Spanish school in Singapore: Spanish World Group review; To infinity and beyond – Space travel dreams","Essential items for surviving the communal hostel toilet; Thailand gets largest number of foreign tourists in Southeast Asia 2024; Cruising with Princess Cruises’ Sapphire Princess – Part 1, For the Little Ones; Spanish school in Singapore: Spanish World Group review; To infinity and beyond – Space travel dreams",
