support,itemsets
0.1921699078812692,frozenset({'able'})
0.15634595701125895,frozenset({'access'})
0.10184237461617196,frozenset({'accommodation'})
0.2991299897645855,frozenset({'across'})
0.1617195496417605,frozenset({'actually'})
0.12359263050153531,frozenset({'address'})
0.16786079836233367,frozenset({'adventure'})
0.1008188331627431,frozenset({'affordable'})
0.1026100307062436,frozenset({'afternoon'})
0.2453940634595701,frozenset({'air'})
0.10133060388945753,frozenset({'airline'})
0.1970317297850563,frozenset({'airport'})
0.1056806550665302,frozenset({'almost'})
0.31525076765609006,frozenset({'along'})
0.13766632548618218,frozenset({'already'})
0.2018935516888434,frozenset({'always'})
0.109007164790174,frozenset({'amazing'})
0.12256908904810644,frozenset({'among'})
0.2853121801432958,frozenset({'another'})
0.30680655066530194,frozenset({'area'})
0.11591606960081884,frozenset({'areas'})
0.4969293756397134,frozenset({'around'})
0.18014329580348004,frozenset({'art'})
0.208546571136131,frozenset({'asia'})
0.17246673490276357,frozenset({'attractions'})
0.3091095189355169,frozenset({'available'})
0.3252302968270215,frozenset({'away'})
0.406345957011259,frozenset({'back'})
0.13741044012282497,frozenset({'bar'})
0.12871033776867963,frozenset({'based'})
0.10209825997952918,frozenset({'bay'})
0.16709314227226202,frozenset({'beach'})
0.18219037871033777,frozenset({'beautiful'})
0.10516888433981576,frozenset({'beauty'})
0.12077789150460594,frozenset({'behind'})
0.3718014329580348,frozenset({'best'})
0.18705220061412486,frozenset({'better'})
0.20777891504605936,frozenset({'big'})
0.17528147389969292,frozenset({'bit'})
0.11514841351074719,frozenset({'blue'})
0.11975435005117707,frozenset({'board'})
0.10542476970317298,frozenset({'boat'})
0.24129989764585466,frozenset({'book'})
0.1476458546571136,frozenset({'booking'})
0.11438075742067554,frozenset({'brand'})
0.1008188331627431,frozenset({'break'})
0.13843398157625383,frozenset({'breakfast'})
0.182446264073695,frozenset({'bring'})
0.10056294779938588,frozenset({'brought'})
0.12947799385875128,frozenset({'building'})
0.12871033776867963,frozenset({'built'})
0.1363868986693961,frozenset({'bus'})
0.14866939611054247,frozenset({'business'})
0.11566018423746162,frozenset({'buy'})
0.11745138178096214,frozenset({'cafe'})
0.1008188331627431,frozenset({'call'})
0.1394575230296827,frozenset({'called'})
0.1218014329580348,frozenset({'came'})
0.14227226202661208,frozenset({'car'})
0.15609007164790173,frozenset({'catch'})
0.1072159672466735,frozenset({'central'})
0.22006141248720573,frozenset({'centre'})
0.15148413510747186,frozenset({'chance'})
0.36591606960081885,frozenset({'check'})
0.11182190378710338,frozenset({'chicken'})
0.1169396110542477,frozenset({'children'})
0.11438075742067554,frozenset({'china'})
0.15609007164790173,frozenset({'chinese'})
0.11361310133060389,frozenset({'choice'})
0.14636642784032752,frozenset({'choose'})
0.43091095189355166,frozenset({'city'})
0.12640736949846468,frozenset({'class'})
0.1842374616171955,frozenset({'close'})
0.109007164790174,frozenset({'coffee'})
0.17707267144319344,frozenset({'com'})
0.1957523029682702,frozenset({'comes'})
0.10030706243602866,frozenset({'comfortable'})
0.10209825997952918,frozenset({'coming'})
0.1312691914022518,frozenset({'complete'})
0.11847492323439099,frozenset({'consider'})
0.14150460593654043,frozenset({'cool'})
0.15148413510747186,frozenset({'cost'})
0.2469293756397134,frozenset({'could'})
0.10491299897645855,frozenset({'countries'})
0.1473899692937564,frozenset({'country'})
0.1842374616171955,frozenset({'course'})
0.12717502558853633,frozenset({'cover'})
0.11361310133060389,frozenset({'cuisine'})
0.12871033776867963,frozenset({'cultural'})
0.1522517911975435,frozenset({'culture'})
0.19677584442169907,frozenset({'daily'})
0.5255885363357216,frozenset({'day'})
0.23848515864892528,frozenset({'days'})
0.1921699078812692,frozenset({'definitely'})
0.10056294779938588,frozenset({'design'})
0.1343398157625384,frozenset({'designed'})
0.18935516888433981,frozenset({'destination'})
0.16376663254861823,frozenset({'destinations'})
0.12052200614124872,frozenset({'details'})
0.27686796315250767,frozenset({'different'})
0.1970317297850563,frozenset({'dining'})
0.15762538382804503,frozenset({'dinner'})
0.14073694984646878,frozenset({'dishes'})
0.12231320368474924,frozenset({'done'})
