support,itemsets
0.5424769703172978,frozenset({'singapore'})
0.5255885363357216,frozenset({'day'})
0.4969293756397134,frozenset({'around'})
0.4936028659160696,frozenset({'well'})
0.47697031729785055,frozenset({'experience'})
0.4728761514841351,frozenset({'take'})
0.45573183213920165,frozenset({'world'})
0.45445240532241554,frozenset({'even'})
0.43091095189355166,frozenset({'city'})
0.41299897645854655,frozenset({'travel'})
0.40736949846468784,frozenset({'way'})
0.406345957011259,frozenset({'back'})
0.40199590583418626,frozenset({'many'})
0.3984135107471853,frozenset({'two'})
0.37922210849539406,frozenset({'food'})
0.3718014329580348,frozenset({'best'})
0.36821903787103377,frozenset({'find'})
0.36591606960081885,frozenset({'check'})
0.35977482088024565,frozenset({'place'})
0.35516888433981575,frozenset({'enjoy'})
0.353121801432958,frozenset({'night'})
0.3462128966223132,frozenset({'us'})
0.3421187308085977,frozenset({'little'})
0.33725690890481064,frozenset({'local'})
0.336489252814739,frozenset({'located'})
0.3334186284544524,frozenset({'free'})
0.33111566018423744,frozenset({'would'})
0.32906857727737976,frozenset({'much'})
0.32906857727737976,frozenset({'including'})
0.3252302968270215,frozenset({'away'})
0.323439099283521,frozenset({'long'})
0.3208802456499488,frozenset({'year'})
0.31908904810644834,frozenset({'look'})
0.3155066530194473,frozenset({'stay'})
0.31525076765609006,frozenset({'made'})
0.31525076765609006,frozenset({'along'})
0.3132036847492323,frozenset({'great'})
0.3091095189355169,frozenset({'available'})
0.30885363357215967,frozenset({'right'})
0.30834186284544524,frozenset({'want'})
0.3075742067553736,frozenset({'still'})
0.3070624360286592,frozenset({'hotel'})
0.30680655066530194,frozenset({'area'})
0.3039918116683726,frozenset({'looking'})
0.2996417604912999,frozenset({'know'})
0.2996417604912999,frozenset({'offers'})
0.2991299897645855,frozenset({'across'})
0.2932446264073695,frozenset({'every'})
0.2883828045035824,frozenset({'hours'})
0.2868474923234391,frozenset({'part'})
0.2865916069600819,frozenset({'may'})
0.2853121801432958,frozenset({'another'})
0.2827533265097236,frozenset({'last'})
0.28019447287615146,frozenset({'top'})
0.27917093142272265,frozenset({'set'})
0.27840327533265097,frozenset({'popular'})
0.27686796315250767,frozenset({'different'})
0.27379733879222107,frozenset({'really'})
0.2709825997952917,frozenset({'need'})
0.26228249744114635,frozenset({'old'})
0.2602354145342886,frozenset({'known'})
0.25972364380757423,frozenset({'pretty'})
0.25435005117707266,frozenset({'got'})
0.2523029682702149,frozenset({'end'})
0.2502558853633572,frozenset({'life'})
0.24923234390992835,frozenset({'park'})
0.24744114636642783,frozenset({'via'})
0.2469293756397134,frozenset({'could'})
0.24641760491299897,frozenset({'full'})
0.24590583418628453,frozenset({'room'})
0.24564994882292732,frozenset({'hour'})
0.2453940634595701,frozenset({'air'})
0.2433469805527124,frozenset({'fun'})
0.2418116683725691,frozenset({'head'})
0.2418116683725691,frozenset({'without'})
0.24129989764585466,frozenset({'book'})
0.2387410440122825,frozenset({'open'})
0.23848515864892528,frozenset({'days'})
0.23797338792221084,frozenset({'walk'})
0.2372057318321392,frozenset({'flight'})
0.2372057318321392,frozenset({'quite'})
0.23694984646878198,frozenset({'water'})
0.2359263050153531,frozenset({'view'})
0.23439099283520984,frozenset({'international'})
0.23336745138178097,frozenset({'website'})
0.23285568065506654,frozenset({'family'})
0.23259979529170932,frozenset({'explore'})
0.2308085977482088,frozenset({'years'})
0.22952917093142272,frozenset({'sure'})
0.2292732855680655,frozenset({'making'})
0.2290174002047083,frozenset({'restaurant'})
0.22876151484135107,frozenset({'famous'})
0.22876151484135107,frozenset({'unique'})
0.22799385875127942,frozenset({'something'})
0.2277379733879222,frozenset({'perfect'})
0.227482088024565,frozenset({'since'})
0.22645854657113612,frozenset({'offer'})
0.2262026612077789,frozenset({'love'})
0.22543500511770725,frozenset({'lot'})
0.22287615148413512,frozenset({'going'})
0.22057318321392017,frozenset({'small'})
0.22031729785056295,frozenset({'within'})
0.22006141248720573,frozenset({'centre'})
0.21494370522006143,frozenset({'might'})
0.214431934493347,frozenset({'three'})
0.214431934493347,frozenset({'though'})
0.21417604912998978,frozenset({'shopping'})
0.21417604912998978,frozenset({'think'})
0.21392016376663256,frozenset({'include'})
0.20905834186284544,frozenset({'friends'})
0.208546571136131,frozenset({'asia'})
0.20803480040941658,frozenset({'post'})
0.20777891504605936,frozenset({'big'})
0.20368474923234392,frozenset({'getting'})
0.2034288638689867,frozenset({'short'})
0.2034288638689867,frozenset({'found'})
0.20266120777891505,frozenset({'ride'})
0.20266120777891505,frozenset({'use'})
0.20240532241555784,frozenset({'main'})
0.20240532241555784,frozenset({'taking'})
0.2018935516888434,frozenset({'read'})
0.2018935516888434,frozenset({'sea'})
0.2018935516888434,frozenset({'always'})
0.20112589559877175,frozenset({'special'})
0.20061412487205732,frozenset({'road'})
0.1985670419651996,frozenset({'start'})
0.1985670419651996,frozenset({'took'})
0.19805527123848515,frozenset({'journey'})
0.19779938587512794,frozenset({'street'})
0.19779938587512794,frozenset({'malaysia'})
0.1970317297850563,frozenset({'airport'})
0.1970317297850563,frozenset({'dining'})
0.19677584442169907,frozenset({'daily'})
0.19651995905834185,frozenset({'guests'})
0.19626407369498464,frozenset({'places'})
0.1957523029682702,frozenset({'comes'})
0.19472876151484136,frozenset({'spot'})
0.19447287615148415,frozenset({'options'})
0.19421699078812693,frozenset({'service'})
0.19319344933469806,frozenset({'friendly'})
0.19242579324462641,frozenset({'island'})
0.1921699078812692,frozenset({'able'})
